SHOPNUMBER,ADDRESSLINE1,TOWNORCITY,POSTCODE,LONGITUDE,LATITUDE,DESCRIPTION,TITLE,UPDATED
S88,9 St Johns Street,Bury St Edmunds,IP33 1SQ,0.712123,52.247332,I am the description,I am the title,yes
S89,45 High Road,Bushey Heath,WD23 1SH,-0.342818,51.634511,I am the description,I am the title,yes
S91,18 Trelowarren Street,Camborne,TR14 8AA,-5.298006,50.214062,I am the description,I am the title,yes
S92,53/55 High Street,Canvey Island,SS8 7RD,0.596751,51.523027,I am the description,I am the title,yes
S93,4 Vulcan Place,Carbrooke,IP25 6XU,0.811329,52.593141,I am the description,I am the title,yes
S95,2/3 Priory Street,Cardigan,SA43 1BU,-4.65852,52.083468,I am the description,I am the title,yes
S96,31 Blue Street,Carmarthen,SA31 3LE,-4.307937,51.855668,I am the description,I am the title,yes
S97,50 St Peters Street,Canterbury,CT1 2AT,1.077977,51.280384,I am the description,I am the title,yes
S99,31 High Street,Carrickfergus,BT38 7AN,-5.807,54.7156,I am the description,I am the title,yes
S100,62 Carlton Street,Castleford,WF10 1DB,-1.352879,53.726097,I am the description,I am the title,yes
S101,3A Market Place,Chalfont St. Peter,SL9 9EA,-0.558737,51.606895,I am the description,I am the title,yes
S102,17 High Street,Cheadle,SK8 1AZ,-2.216788,53.39098,I am the description,I am the title,yes
S103,"Unit 3, Rectory Court, Wilmslow Road",Cheadle,SK8 1DW,-2.216934,53.39311,I am the description,I am the title,yes
S104,76 High Street,Cheadle,SK8 1AE,-2.21619,53.394648,I am the description,I am the title,yes
S105,"132, Gloucester Avenue",Chelmsford,CM2 9LG,0.475139,51.716592,I am the description,I am the title,yes
S106,"Unit 3, Asda Centre, Village Square",Chelmsford,CM2 6RF,0.506548,51.736592,I am the description,I am the title,yes
S107,9 Maplewalk,Chelmsley Wood,B37 5ST,-1.748772,52.478411,I am the description,I am the title,yes
S108,3 Rowallan Way,Chellaston,DE73 5WX,-1.448692,52.868377,I am the description,I am the title,yes
S109,88 High Street,Cheltenham,GL50 1EG,-2.072315,51.898674,I am the description,I am the title,yes
S110,11 The Sainsbury's Centre,Chertsey,KT16 9AG,-0.503872,51.390963,I am the description,I am the title,yes
S111,16 Frodsham Street,Chester,CH1 3JL,-2.888119,53.192037,I am the description,I am the title,yes
S112,"Unit 2 East Side, River Lane",Chester,CH4 8RH,-2.923693,53.181402,I am the description,I am the title,yes
S113,"Unit 2, Trevorrow Crescent (off Derby Road)",Chesterfield,S40 2GH,-1.426108,53.228216,I am the description,I am the title,yes
S114,65 South Street,Chichester,PO19 1EE,-0.778992,50.835944,I am the description,I am the title,yes
S115,"4 Ambassador House, Crane Street",Chichester,PO19 1LL,-0.779704,50.838029,I am the description,I am the title,yes
S116,"183 Manford Way,",Chigwell,IG7 4DN,0.105643,51.608412,I am the description,I am the title,yes
S117,70 Old Church Road,Chingford,E4 8BX,-0.017524,51.61964,I am the description,I am the title,yes
S118,72 Turnham Green Terrace,Chiswick,W4 1QF,-0.253774,51.494478,I am the description,I am the title,yes
S119,5-7 Cleveland Street,Chorley,PR7 1BH,-2.631328,53.65314,I am the description,I am the title,yes
S120,"7 Bishop Walk, Cricklade Street",Cirencester,GL7 1JH,-1.968151,51.716211,I am the description,I am the title,yes
S121,Unit 5 Rosemary Road,Clacton,CO15 1TE,1.152946,51.789967,I am the description,I am the title,yes
S122,78 Victoria Road West,Cleveleys,FY5 1AG,-3.042474,53.87717,I am the description,I am the title,yes
S123,"Unit 1, 485/507 Glasgow Road",Clydebank,G81 1JP,-4.390302,55.892867,I am the description,I am the title,yes
S124,16 Stone Row,Coleraine,BT52 1EP,-6.6719,55.1314,I am the description,I am the title,yes
S125,24 Collier Row Road,Collier Row,RM5 3NX,0.162318,51.599333,I am the description,I am the title,yes
S126,40 Station Road,Colwyn Bay,LL29 8BU,-3.72666,53.295566,I am the description,I am the title,yes
S127,"Unit L, Holmes Chapel Road, West Heath Retail Park",Congleton,CW12 4NB,-2.236406,53.165467,I am the description,I am the title,yes
S128,12 Bridge Street,Congleton,CW12 1AY,-2.213558,53.163192,I am the description,I am the title,yes
S129,"Unit 1, Deeside District Centre",Connah's Quay,CH5 4UQ,,,I am the description,I am the title,yes
S130,69 Middle Street,Consett,DH8 5QG,-1.834311,54.852696,I am the description,I am the title,yes
S131,"Unit 2, Oakley Vale District Centre, Butland Road",Corby,NN18 8LX,-0.712573,52.470847,I am the description,I am the title,yes
S132,24 St Johns Way,Corringham,SS17 7LJ,0.44769,51.52502,I am the description,I am the title,yes
S133,14 High Street,Cosham,PO6 3BZ,-1.067026,50.845733,I am the description,I am the title,yes
S134,199 Daventry Road,Coventry,CV3 5HF,-1.505021,52.394466,I am the description,I am the title,yes
S135,134 Jubilee Crescent,Coventry,CV6 3EF,-1.518429,52.423676,I am the description,I am the title,yes
S136,"Unit 5, Granmercy Park",Coventry,CV4 9AE,-1.56066,52.390861,I am the description,I am the title,yes
S137,137 High Street,Cowdenbeath,KY4 9QE,-3.344056,56.11262,I am the description,I am the title,yes
S138,"Tudor Bakery, 83 High Street",Cranleigh,GU6 8AG,-0.488758,51.140787,I am the description,I am the title,yes
S139,3 Alexandria Trading Estate,Cullompton,EX15 1BW,-3.386101,50.86169,I am the description,I am the title,yes
S141,286/288 Heathway,Dagenham,RM10 8QS,0.148141,51.541842,I am the description,I am the title,yes
S142,5-7 King Street,Deal,CT14 6HU,1.403133,51.224798,I am the description,I am the title,yes
S144,62 Babbington Lane,Derby,DE1 1SX,-1.477308,52.918712,I am the description,I am the title,yes
S145,4 Wine Street,Devizes,SN10 1AP,-1.99481,51.351875,I am the description,I am the title,yes
S147,"Unit 1, Armthorpe Shopping Centre, Church Street",Doncaster,DN2 4QR,-1.092397,53.550867,I am the description,I am the title,yes
S148,"Unit 2, Woodfield Plantation",Doncaster,DN4 8SN,-1.13829,53.491009,I am the description,I am the title,yes
S149,Unit 2 & 3 Edlington Lane,Doncaster,DN12 1BS,-1.188221,53.48486,I am the description,I am the title,yes
S151,135 High Street,Dovercourt,CO12 3AX,1.281285,51.937135,I am the description,I am the title,yes
S152,431 Bromley Road,Downham,BR1 4PH,-0.004159,51.425199,I am the description,I am the title,yes
S153,38 Middle Street South,Driffield,YO25 7PS,-0.445903,54.002931,I am the description,I am the title,yes
S155,36 Church Crescent,Dumfries,DG1 1DF,-3.611838,55.070631,I am the description,I am the title,yes
S156,125 Queensberry Street,Dumfries,DG1 1BH,-3.611375,55.070044,I am the description,I am the title,yes
S157,55 Reform Street,Dundee,DD1 1SP,-2.971424,56.461891,I am the description,I am the title,yes
S160,"Unit 1, Aberdour Road",Dunfermline,KY11 4RB,-3.435098,56.061222,I am the description,I am the title,yes
S161,191 Kingsway,Dunmurry,BT17 9RY,-6.0052,54.5517,I am the description,I am the title,yes
S162,"41 Hafton Place, Ferry Brae",Dunoon,PA23 7DJ,-4.925715,55.948233,I am the description,I am the title,yes
S164,10 London Road,East Grinstead,RH19 1AG,-0.008394,51.124671,I am the description,I am the title,yes
S165,150 Walton Road,East Molesley,KT8 OHP,-0.356165,51.400895,I am the description,I am the title,yes
S166,"3 Parkway House, Sheen Lane",East Sheen,SW14 8SL,-0.257341,51.470054,I am the description,I am the title,yes
S168,172 Field End Road,Eastcote,HA5 1RH,-0.399525,51.578117,I am the description,I am the title,yes
S169,"Former Market House, Bethcar Street",Ebbw Vale,NP23 6HN,-3.208101,51.776755,I am the description,I am the title,yes
S170,118 Station Road,Edgware,HA8 7AA,-0.277002,51.612279,I am the description,I am the title,yes
S172,18/20 Gorgie Road,Edinburgh,EH11 2LZ,-3.227701,55.939128,I am the description,I am the title,yes
S173,22/24 Gorgie Road,Edinburgh,EH11 2LZ,-3.227701,55.939128,I am the description,I am the title,yes
S174,106 Nicolson Street,Edinburgh,EH8 9EJ,-3.183183,55.944533,I am the description,I am the title,yes
S175,196 Portobello High Street,Edinburgh,EH15 1EX,-3.113317,55.95266,I am the description,I am the title,yes
S176,45 Clerk Street,Edinburgh,EH8 9JQ,-3.182173,55.941865,I am the description,I am the title,yes
S177,144/148/150 Leith Walk,Edinburgh,EH6 5DT,-3.174011,55.968432,I am the description,I am the title,yes
S178,Unit 2B Falkirk Road,Linlithgow,EH49 7PH,,,I am the description,I am the title,yes
S179,"Unit 1a, Meadowbank Retail Park, 16 Earlstone Place",Edinburgh,EH7 5SU,-3.167062,55.957392,I am the description,I am the title,yes
S180,29/31 Deanhaugh Street,Edinburgh,EH4 1LR,-3.209549,55.958725,I am the description,I am the title,yes
S181,Unit 14b Westside Plaza,Edinburgh,EH14 2SW,-3.28487,55.91538,I am the description,I am the title,yes
S182,55 High Street,Elgin,IV30 1EE,-3.31197,57.649063,I am the description,I am the title,yes
S183,67 High Street,Eltham,SE9 1HH,0.057832,51.454181,I am the description,I am the title,yes
S184,"Unit 5, Horton Retail Centre, Covell House, Pelham Way",Epsom,KT19 8SP,-0.277071,51.344828,I am the description,I am the title,yes
S185,"Unit 6A, Erith Riverside Shopping Centre, Bexley Rd",Erith,DA8 1SP,-0.17935,51.48114,I am the description,I am the title,yes
S186,48 Grahams Road,Falkirk,FK1 1HR,-3.784236,56.003495,I am the description,I am the title,yes
S187,"Unit 2, Bridge Street Retail Park",Falkirk,FK4 1AA,-3.887126,56.000975,I am the description,I am the title,yes
S188,14 Market Strand,Falmouth,TR11 3DE,-5.071109,50.156524,I am the description,I am the title,yes
S189,122 Hamilton Road,Felixstowe,IP11 8AB,-1.321205,51.951836,I am the description,I am the title,yes
S190,199 Fleet Road,Fleet,GU13 8BL,-0.840704,51.281955,I am the description,I am the title,yes
S191,114 Lord Street,Fleetwood,FY7 6SW,-3.016469,53.92068,I am the description,I am the title,yes
S192,5 Church Street,Frodsham,WA6 7DN,-2.725682,53.295452,I am the description,I am the title,no
S193,5 Kingsway Precinct,Frome,BA11 1BT,-2.320216,51.230586,I am the description,I am the title,no
S194,Unit 10 St Mary's Green,Gateshead,NE16 4DN,-1.677469,54.946244,I am the description,I am the title,no
S195,62 Packhorse Road,Gerrards Cross,SL9 8EF,-0.552147,51.588884,I am the description,I am the title,yes
S196,Victory Pier,Gillingham,ME7 1AF,0.557332,51.395466,I am the description,I am the title,yes
S197,38 Ancaster Drive,Glasgow,G13 1NB,-4.323242,55.888408,I am the description,I am the title,yes
S198,"776 Anniesland Road, Knightswood",Glasgow,G14 OYU,,,I am the description,I am the title,yes
S199,"Unit 9, Broomhill Shopping Centre",Glasgow,G11 7BW,-4.326148,55.87599,I am the description,I am the title,yes
S200,"Unit 20, The Toll",Clarkston,G76 7BG,-4.276767,55.789767,I am the description,I am the title,yes
S201,340 Duke Street,Glasgow,G31 1QZ,-4.222123,55.858163,I am the description,I am the title,yes
S202,116 Dumbarton Road,Glasgow,G11 6NY,-4.298664,55.870589,I am the description,I am the title,yes
S203,1111 Edinburgh Road,Glasgow,G33 3QE,-4.172572,55.863309,I am the description,I am the title,yes
S204,250 Great Western Road,Glasgow,G4 9EJ,-4.273384,55.87291,I am the description,I am the title,yes
S205,909-911 Shettleston Road,Glasgow,G32 7NU,-4.173413,55.852069,I am the description,I am the title,yes
S206,483 Victoria Road,Glasgow,G42 8RL,-4.264998,55.834868,I am the description,I am the title,yes
S207,"54, Wilson Court, Wilson Street",Glasgow,G1 1HD,-4.248369,55.858846,I am the description,I am the title,yes
S208,17 Main Street,Glasgow,G62 6BJ,-4.317776,55.940477,I am the description,I am the title,yes
S209,"Unit 6 Stewarton Road, Greenlaw Village",Glasgow,G77 6NP,-4.353683,55.781218,I am the description,I am the title,yes
S210,36 Kilmarnock Road,Glasgow,G41 3NH,-4.282236,55.829804,I am the description,I am the title,yes
S211,"Unit 1, 311 Old Edinburgh Road",Glasgow,G71 6PL,,,I am the description,I am the title,yes
S212,Unit 4 North Street,Glenrothes,KY7 5NA,-3.167689,56.196484,I am the description,I am the title,yes
S213,2 Bridge Street,Godalming,GU7 1HY,-0.60935,51.18649,I am the description,I am the title,yes
S214,18 Golders Green Road,Golders Green,NW11 8LN,-0.19872,51.572868,I am the description,I am the title,yes
S215,1/3 Whitworth Road,Gosport,PO12 3NJ,-1.14303,50.79771,I am the description,I am the title,yes
S216,24 High Street,Grantham,NG31 6EH,-0.640577,52.909785,I am the description,I am the title,yes
S217,15 Station Approach,Great Missenden,HP1 9AZ,,,I am the description,I am the title,yes
S218,2 Mill Lane,Great Yarmouth,NR31 8HL,1.701963,52.576917,I am the description,I am the title,yes
S220,95 Magdelen Way,Great Yarmouth,NR31 7AA,1.714833,52.573851,I am the description,I am the title,yes
S221,81 West Blackhall Street,Greenock,PA15 1XP,-4.762539,55.951328,I am the description,I am the title,yes
S222,1 High Street,Green Street Green,BR6 6BG,0.089739,51.353536,I am the description,I am the title,yes
S224,81a High Street,Harborne,B17 9NN,-1.94718,52.459094,I am the description,I am the title,yes
S225,117 High Street,Harborne,B17 9NP,-1.948608,52.45913,I am the description,I am the title,yes
S226,3 Farnham Road,Harold Hill,RM3 8ED,0.219148,51.606618,I am the description,I am the title,yes
S228,57 Leeds Road,Harrogate,HG2 8BE,-1.534499,53.977701,I am the description,I am the title,yes
S229,5 Carlton Corner,Hartlepool,TS26 9EP,-1.218678,54.683188,I am the description,I am the title,yes
S230,23 Queens Road,Hastings,TN34 1QY,0.581931,50.8567,I am the description,I am the title,yes
S232,22 Pensby Road,Heswall,CH60 7RE,-3.098034,53.329341,I am the description,I am the title,yes
S233,7 George Street,Hove,BN3 3YA,-0.173589,50.828929,I am the description,I am the title,yes
S234,106 New Street,Huddersfield,HD1 2UD,-1.784066,53.643322,I am the description,I am the title,yes
S236,"Unit 5, Prospect Centre, 75 Prospect Street",Hull,HU2 8PW,-0.343954,53.746408,I am the description,I am the title,yes
S237,"Unit 1, St Andrews Retail Park, Hessle Road",Hull,HU3 3DU,-0.366728,53.734322,I am the description,I am the title,yes
