SHOPNUMBER,ADDRESSLINE1,TOWNORCITY,POSTCODE,LONGITUDE,LATITUDE,DESCRIPTION,TITLE,UPDATED
S317,45 Deansgate,Manchester,M3 2AY,-2.246014,53.483009,I am the description,I am the title,yes
S318,746 Wilmslow Road,Manchester,M20 2DW,,,I am the description,I am the title,yes
S319,"Unit G, Fallowfield Retail Park, Birchfields Road",Manchester,M14 6FS,-2.204588,53.443009,I am the description,I am the title,yes
S320,"Unit 3, North City Shopping Centre",Manchester,M9 4DH,-2.212268,53.512737,I am the description,I am the title,yes
S321,374 Palatine Road,Manchester,M22 4FZ,-2.258391,53.407813,I am the description,I am the title,yes
S322,"Unit 4, Gateway House, Station Approach",Manchester,M1 2GH,-2.230815,53.477885,I am the description,I am the title,yes
S324,"Unit 108 Stretford Mall, Chester Road",Manchester,M32 9BA,-2.30942,53.445677,I am the description,I am the title,yes
S325,99-101 The Parade,Manchester,M27 4BD,-2.337875,53.51189,I am the description,I am the title,yes
S326,38 Flixton Road,Manchester,M41 5AA,-2.354899,53.448607,I am the description,I am the title,yes
S327,"16, The Birtles, Civic Centre",Manchester,M22 5RF,-2.26189,53.379932,I am the description,I am the title,yes
S329,7 George Street,Marylebone,W1U 3QH,-0.152131,51.517839,I am the description,I am the title,yes
S330,"Unit 2, Holden Way",Mere Green,B74 2UG,-1.829278,52.585812,I am the description,I am the title,yes
S331,5 Norfolk Place,Middlesborough,TS3 7BP,-1.21265,54.560126,I am the description,I am the title,yes
S332,"Unit 1, Low Grange Farm, Normanby Road,",Middlesborough,TS6 9AE,,,I am the description,I am the title,yes
S334,61 Charles Street,Milford Haven,SA73 2HA,-5.035006,51.713165,I am the description,I am the title,yes
S335,5 High Street,Moffat,DG10 9ET,-3.444257,55.33231,I am the description,I am the title,yes
S336,10 New Street,Mold,CH7 1NZ,-3.142446,53.166056,I am the description,I am the title,yes
S337,172/174 High Street,Montrose,DD10 8JB,-2.468735,56.710977,I am the description,I am the title,yes
S338,34 Euston Road,Morecambe,LA4 5DD,-2.865961,54.072481,I am the description,I am the title,yes
S339,1 Newgate Street,Morpeth,NE61 1AL,-1.690989,55.16802,I am the description,I am the title,yes
S340,147 High Street,Musselburgh,EH21 7DD,-3.051849,55.942498,I am the description,I am the title,yes
S341,121 Muswell Hill Road,Muswell Hill,N10 3HS,-0.145923,51.589384,I am the description,I am the title,yes
S342,22 Swinemarket,Nantwich,CW5 5LN,-2.523446,53.068117,I am the description,I am the title,yes
S343,5 New Street,Neath,SA11 1RT,-3.804781,51.663446,I am the description,I am the title,yes
S344,15/17 Slaughter House Lane,Newark,NG24 1ER,-0.809553,53.078186,I am the description,I am the title,yes
S345,180/182 Shield Road,Newcastle,NE6 1DT,-1.581032,54.976836,I am the description,I am the title,yes
S346,67 High Street,New Malden,KT3 4BT,-0.256382,51.401508,I am the description,I am the title,yes
S347,177 Upper Dock Street,Newport,NP20 1DY,-2.996201,51.587992,I am the description,I am the title,yes
S348,"Unit 6, 389-413 Malpas Road",Newport,NP20 6WB,-3.00703,51.611414,I am the description,I am the title,yes
S349,127 Commercial Street,Newport,NP20 1LY,-2.994024,51.584383,I am the description,I am the title,yes
S350,7c Bears Lane,Newtown,SY16 2QZ,-3.316155,52.515379,I am the description,I am the title,yes
S351,9 Bank Street,Newton Abbott,TQ12 2JL,-3.612852,50.529962,I am the description,I am the title,yes
S352,"Unit B2, The Parade, Greenwell Road",Newton Aycliffe,DL5 4DH,-1.571734,54.620739,I am the description,I am the title,yes
S353,85 - 86 High Street,Northallerton,DL7 8PP,-1.434009,54.340164,I am the description,I am the title,yes
S354,49a Gold Street,Northampton,NN1 1RA,-0.899236,52.236612,I am the description,I am the title,yes
S355,802 High Road,North Finchley,N12 9QU,-0.176467,51.616497,I am the description,I am the title,yes
S356,"Unit 3, 25 Market Place",North Walsham,NR28 9BJ,1.390662,52.8224,I am the description,I am the title,yes
S357,"Unit 8 Albion Walk, Albiojn Street",Northwich,CW 9 5XU,,,I am the description,I am the title,yes
S358,33 Green Lane,Northwood,HA6 2PX,-0.427106,51.612206,I am the description,I am the title,yes
S359,28 Anglia Square,Norwich,NR3 1DZ,1.295158,52.636318,I am the description,I am the title,yes
S360,"Unit 4, St Augustine Street, Aylsham Road",Norwich,NR3 3BE,1.291008,52.639194,I am the description,I am the title,yes
S361,15 Angel Row,Nottingham,NG1 6HL,-1.152372,52.953543,I am the description,I am the title,yes
S362,15 Scarffes Entry,Omagh,BT78 1JH,-7.3018,54.6002,I am the description,I am the title,yes
S363,9 Wheatsheaf Walk,Ormskirk,L39 2XA,-2.885155,53.568118,I am the description,I am the title,yes
S364,19 Cross Street,Oswestry,SY11 2NF,-3.054456,52.859658,I am the description,I am the title,yes
S365,160 Cowley Road,Oxford,OX4 1UE,-1.235117,51.747068,I am the description,I am the title,yes
S366,53 Station Road East,Oxted,RH8 0AX,-0.002855,51.257621,I am the description,I am the title,yes
S367,10/13 Causewayhead,Penzance,TR18 2SN,-5.53828,50.11913,I am the description,I am the title,yes
S368,18 Scott Street,Perth,PH1 5EJ,-3.432723,56.396181,I am the description,I am the title,yes
S369,12 Errol Street,Peterhead,AB42 1PX,-1.782726,57.505309,I am the description,I am the title,yes
S370,9 Love Lane,Pinner,HA5 3EE,-0.382239,51.595082,I am the description,I am the title,yes
S371,"Armada Centre, Armada Way",Plymouth,PL1 1LE,-4.143971,50.373847,I am the description,I am the title,yes
S372,14 Market Place,Pocklington,YO42 2AR,-0.778525,53.93028,I am the description,I am the title,yes
S373,64 Taff Street,Pontypridd,CF37 4TD,-3.340052,51.603484,I am the description,I am the title,yes
S376,126 High Street,Porthmadog,LL49 9NW,-4.132449,52.927247,I am the description,I am the title,yes
S377,"Unit 5, Bridge Shopping Centre",Portsmouth,PO1 1SL,-1.077429,50.798577,I am the description,I am the title,yes
S378,22 London Road,Portsmouth,PO2 OLN,-1.0795,50.8146,I am the description,I am the title,yes
S380,"Unit 1A, Tulketh Mill Retail Park, Blackpool Road",Preston,PR2 2DZ,-2.725417,53.772601,I am the description,I am the title,yes
S381,88 Main Street,Prestwick,KA9 2QL,-4.602969,55.518594,I am the description,I am the title,yes
S382,"2 Severndale Shopping Centre, Bristol Road",Quedgeley,GL2 4PF,-2.27958,51.827093,I am the description,I am the title,yes
S384,62 Bank Street,Rawtenstall,BB4 8EG,-2.285364,53.7039,I am the description,I am the title,yes
S385,Unit 3 Rawreth Lane,Rayleigh,SS6 9RN,0.59659,51.605222,I am the description,I am the title,yes
S386,47 Wokingham Road,Reading,RG6 1LH,-0.936821,51.448572,I am the description,I am the title,yes
S388,"Unit 1, Vale Road/Marsh Road",Rhyl,LL18 2BT,-3.483325,53.31754,I am the description,I am the title,yes
S389,88 High Street,Rickmansworth,WD3 1AQ,-0.471133,51.639282,I am the description,I am the title,yes
S390,61 Yorkshire Street,Rochdale,OL16 1BZ,-2.156614,53.619295,I am the description,I am the title,yes
S391,29 Market Street,Rochdale,OL10 1HX,-2.222086,53.593542,I am the description,I am the title,yes
S393,"Unit 28, Liberty 2 Shopping Centre",Romford,RM1 3EE,,,I am the description,I am the title,yes
S394,"19 The Market, Wrythe Lane",Rosehill,SM5 1AG,-0.188625,51.38292,I am the description,I am the title,yes
S395,6/7 Broad Street,Ross on Wye,HR9 7EA,-2.583014,51.915197,I am the description,I am the title,yes
S397,"Unit 3, Woodlaithes Neighbourhood Centre,",Woodlaithes,S66 3ZT,-1.276896,53.435101,I am the description,I am the title,yes
S398,8 & 9 Angel Pavement,Royston,SG8 9AS,-0.022807,52.046517,I am the description,I am the title,yes
S399,11 High Street,Royston,SG8 9AA,-0.023819,52.047362,I am the description,I am the title,yes
S401,339 Hilmorton Road,Rugby,CV22 5EZ,-1.22883,52.359687,I am the description,I am the title,yes
S402,6 Upper Brook Street,Rugeley,WS15 2DN,-1.936299,52.75896,I am the description,I am the title,yes
S403,185 Main Street,Rutherglen,G73 2HG,-4.212265,55.828674,I am the description,I am the title,yes
S405,33 Catherine Street,Salisbury,SP1 2DQ,-1.793653,51.067872,I am the description,I am the title,yes
S406,23 Catherine Street,Salisbury,SP1 2DQ,-1.793653,51.067872,I am the description,I am the title,yes
S408,"Unit 4 Sandbach Shopping Precinct, 19 Penda Way",Sandbach,CW11 1GQ,,,I am the description,I am the title,yes
S409,3 Aberdeen Walk,Scarborough,YO11 1BA,-0.402761,54.282531,I am the description,I am the title,yes
S410,64 Church Street,Seaham,SR7 7HF,-1.33363,54.83726,I am the description,I am the title,yes
S411,7 Finkle Street,Selby,YO8 ODT,-1.069089,53.78455,I am the description,I am the title,yes
S412,"Unit B, Doncaster Road",Selby,YO8 9EG,-1.08875,53.768846,I am the description,I am the title,yes
S414,"Unit 2, Birley Moor Road",Sheffield,S12 4WB,-1.402192,53.350338,I am the description,I am the title,yes
S415,231 Crookes Road,Sheffield,S10 1TE,-1.508433,53.385411,I am the description,I am the title,yes
S417,196 Hutton Road,Shenfield,CM15 8NR,0.328534,51.63083,I am the description,I am the title,yes
S420,"Unit 2, The Broadway",Silver End,CM8 3RB,0.621995,51.847647,I am the description,I am the title,yes
S418,"Unit 3a, Northumberland Park District Centre, Earsdon Rd",Shiremoor,NE27 OJH,-1.524475,55.041653,I am the description,I am the title,yes
S419,"Unit 27, Level 4 Shopping Centre",Shrewsbury,SY1 1PL,,,I am the description,I am the title,yes
S421,225 High Street,Slough,SL1 1BY,-0.589608,51.508169,I am the description,I am the title,yes
S422,302 Farnham Road,Slough,SL1 4XL,-0.615224,51.524948,I am the description,I am the title,yes
S423,543 Bearwood Road,Smethwick,B66 4BH,-1.96901,52.474906,I am the description,I am the title,yes
S424,120 Main Street,Solihull,B90 1UA,-1.83684,52.38505,I am the description,I am the title,yes
S425,"Unit 10, Shirley Shopping Precinct",Southampton,SO16 4EY,-1.434731,50.923836,I am the description,I am the title,yes
S426,2 Tulketh Street,Southport,PR8 1AQ,-3.003745,53.646273,I am the description,I am the title,yes
S427,33 Marmion Road,Southsea,PO5 2AT,-1.086624,50.78623,I am the description,I am the title,yes
S428,101 George Lane,South Woodford,E18 1AN,0.02655,51.592701,I am the description,I am the title,yes
S429,4 Bell Street,St Andrews,KY16 9UX,-2.798801,56.339569,I am the description,I am the title,yes
S430,43 Bell Street,St Andrews,KY16 9UR,-2.798466,56.339804,I am the description,I am the title,yes
S431,10 The Square,St Annes,FY8 1RF,-3.030741,53.751326,I am the description,I am the title,yes
S432,55 St Annes Road West,St Annes on Sea,FY8 1SB,-3.03148,53.751796,I am the description,I am the title,yes
S433,8 The Pavement,St Ives,PE27 5AD,-0.073003,52.323609,I am the description,I am the title,yes
S434,4 High Street,St Neots,PE19 1JA,,,I am the description,I am the title,yes
S435,38 Broad Street,Stamford,PE19 19X,,,I am the description,I am the title,yes
S436,"Unit 5, Bellona Drive",Stanground,PE2 8GP,-0.299159,52.547491,I am the description,I am the title,yes
S437,"4-6 The Precinct, Castle Street",Stockport,SK3 9AJ,-2.167241,53.402124,I am the description,I am the title,yes
S438,209 and 211 London Road,Stockport,SK7 4HH,-2.122946,53.381028,I am the description,I am the title,yes
S439,127 London Road,Stockport,SK7 4HH,-2.122946,53.381028,I am the description,I am the title,yes
S440,20 Market Street,Stockport,SK6 7AD,-2.063885,53.393694,I am the description,I am the title,yes
S441,18 Longton Exchange,Stoke-On-Trent,ST3 2JA,-2.135142,52.988057,I am the description,I am the title,yes
S442,129-131 High Street,Stourbridge,DY8 1DT,-2.14572,52.4563,I am the description,I am the title,yes
S443,Unit 3 Meadow Centre,Stowmarket,IP14 1DE,0.993989,52.187499,I am the description,I am the title,yes
S444,47 Hanover Street,Stranraer,DG9 7RX,-5.02456,54.903375,I am the description,I am the title,yes
S445,22 North Street,Sudbury,CO10 6RB,0.73028,52.040605,I am the description,I am the title,yes
S446,150 Chester Road,Sunderland,SR4 7EY,-1.400096,54.90239,I am the description,I am the title,yes
S447,11 Stockton Road,Sunderland,SR1 3NW,-1.386336,54.902788,I am the description,I am the title,yes
S448,27 Lukes Terrace,Sunderland,SR4 6NQ,-1.414212,54.908243,I am the description,I am the title,yes
S449,"Unit 10, Pennywell Shopping Centre, Portsmouth Road",Sunderland,SR4 9AS,-1.439348,54.896763,I am the description,I am the title,yes
S450,32 Woodfield Street,Swansea,SA6 8AB,-3.925464,51.664688,I am the description,I am the title,yes
S451,20 Station Road,Taunton,TA1 1NL,-3.105298,51.019886,I am the description,I am the title,yes
S452,49 Broad Street,Teddington,TW11 8QZ,-0.338427,51.42617,I am the description,I am the title,yes
S453,39 Riverside Walk,Thetford,IP24 2BB,0.747672,52.413677,I am the description,I am the title,yes
S454,"Unit 1a, Thornton Shopping Centre, Victoria Road East",Thornton Cleveleys,FY5 5DX,-3.000873,53.869828,I am the description,I am the title,yes
S455,Unit 1 Pound Lane,Thorpe St Andrew,NR7 0SR,1.361408,52.63084,I am the description,I am the title,yes
S456,10 Angel Walk,Tonbridge,TN9 1TJ,0.273649,51.193426,I am the description,I am the title,yes
S457,26/28 Commercial Road,Totton,SO4 3BY,-1.486177,50.918786,I am the description,I am the title,yes
S458,"Unit 1a, 47 High Street",Tow Law,DL13 4DH,-1.81493,54.744818,I am the description,I am the title,yes
S459,16 Portland Street,Troon,KA10 6EA,-4.663442,55.544296,I am the description,I am the title,yes
S460,28 River Street,Truro,TR1 2SJ,-5.054129,50.263671,I am the description,I am the title,yes
S461,87 Mount Pleasant Road,Tunbridge Wells,TN1 1PX,0.263157,51.132672,I am the description,I am the title,yes
S462,43 Corbets Tey Road,Upminster,RM14 2AJ,0.248397,51.554064,I am the description,I am the title,yes
S464,26 The Maltings,Uttoxeter,ST14 7LN,-1.864664,52.899558,I am the description,I am the title,yes
S465,"Unit 4, Stanley Road",Wakefield,WF1 4PT,-1.473713,53.686549,I am the description,I am the title,yes
S466,"Unit 6c, Ravensthorpe Shopping Park, Huddersfield Road",Wakefield,WF13 3JW,-1.65732,53.679187,I am the description,I am the title,yes
S468,118 Station Road,Wallsend,NE28 8QS,-1.533804,54.991554,I am the description,I am the title,yes
S469,15 Bradford Street,Walsall,WS1 1PB,-1.982955,52.583219,I am the description,I am the title,yes
S470,70 High Street,Wanstead,E11 2RJ,0.027271,51.576151,I am the description,I am the title,yes
S471,9 Bridgefoot High Street,Ware,SG12 9BS,-0.029707,51.810025,I am the description,I am the title,yes
S473,11 The Precinct,Waterlooville,PO7 7DT,-1.030363,50.880083,I am the description,I am the title,yes
S474,11 High Street,Watton,IP25 6AB,0.825052,52.571213,I am the description,I am the title,yes
S475,15 Union Street,Wednesbury,WS10 7HD,-2.020531,52.552491,I am the description,I am the title,yes
S476,52 New Street,Wellington,TF1 1NE,-2.516932,52.700343,I am the description,I am the title,yes
S478,184 High Street,West Bromwich,B70 7QS,,,I am the description,I am the title,yes
S479,105 Poole Road,Westbourne,BH4 9BB,-1.903459,50.722976,I am the description,I am the title,yes
S480,30a Central Avenue,West Bridgeford,NG2 5GQ,-1.126195,52.931851,I am the description,I am the title,yes
S482,"Unit 13, 14, 15 The Boulevard, Octagon Way",Weston Favell,NN3 8JP,-0.837344,52.256428,I am the description,I am the title,yes
S483,1295 High Road,Whetstone,N20 9HX,-0.175571,51.631276,I am the description,I am the title,yes
S484,202 Park View,Whitley Bay,NE26 3QR,-1.45174,55.04504,I am the description,I am the title,yes
S485,204 Park View,Whitley Bay,NE26 3QR,-1.45174,55.04504,I am the description,I am the title,yes
S486,57 High Street,Whitstable,CT5 1AP,1.024938,51.359587,I am the description,I am the title,yes
S488,1 Albert Square,Widnes,WA8 6JW,-2.726692,53.368514,I am the description,I am the title,yes
S489,52 Standishgate,Wigan,WN1 1UW,-2.630387,53.548421,I am the description,I am the title,yes
S491,14 Queens Parade,Winsford,CW7 1AB,-2.524794,53.189913,I am the description,I am the title,yes
S492,385 Wimbourne Road,Winton,BH9 2AQ,-1.87869,50.7419,I am the description,I am the title,yes
S493,191 Main Street,Wishaw,ML2 7NE,-3.924488,55.775783,I am the description,I am the title,yes
S494,29 Newland Street,Witham,CM8 2AF,,,I am the description,I am the title,yes
S496,66 Queen Street,Wolverhampton,WV1 3BY,-2.126312,52.585265,I am the description,I am the title,yes
S497,57-59 Crockhamwell Road,Woodley,RG5 3SZ,-0.906151,51.451752,I am the description,I am the title,yes
S498,98 Bridge Street,Worksop,S80 1HZ,-1.124988,53.302173,I am the description,I am the title,yes
S500,"Unit B, Newcastle Avenue",Worksop,S80 1LD,-1.145863,53.286446,I am the description,I am the title,yes
S501,"Unit 3, 172 High Street",Worle,BS22 6JD,-2.926943,51.360228,I am the description,I am the title,yes
S502,15 Mealcheapen Street,Worcester,WR1 2DQ,-2.2192,52.192711,I am the description,I am the title,yes
S503,"Unit 9, Dodds Lane",Wrexham,LL11 4NT,-3.014757,53.071628,I am the description,I am the title,yes
S504,Unit 13 The Broadway,Yaxley,PE7 3JL,-0.2511,52.516884,I am the description,I am the title,yes
S505,"3 Odsal House, Front Street",York,YO2 3BL,-1.140101,53.929368,I am the description,I am the title,yes
S62,45 Allan Street,Blairgowrie,PH10 6AB,-3.338053,56.592517,I am the description,I am the title,yes
S67,"Unit 4b, Burden Park, Manchester Road",Bolton,BL3 2NE,-2.41572,53.569323,I am the description,I am the title,yes
S72,664-666 Christcurch Road,Boscombe,BH7 6BT,-1.836137,50.727712,I am the description,I am the title,yes
S78,82 High Street,Braintree,CM7 1JP,0.550213,51.878058,I am the description,I am the title,yes
S81,798 Fishponds Road,"Bristol, Fishponds",BS16 3TE,-2.527837,51.481253,I am the description,I am the title,yes
S86,38 Beaufort Street,Brynmawr,NP23 4AF,-3.175455,51.799457,I am the description,I am the title,yes
S90,61 Spring Gardens,Buxton,SK17 6BJ,-1.911172,53.259415,I am the description,I am the title,no
S94,103 Albany Road,Cardiff,CF2 3LP,-3.175395,51.484255,I am the description,I am the title,yes
S98,18a High Street,Carrickfergus,BT38 7AF,-5.8075,54.7158,I am the description,I am the title,yes
S140,44 Crossgate,Cupar,KY155HS,-3.01161,56.317915,I am the description,I am the title,yes
S143,59 The Boadway,Debden,IG10 3SP,0.084129,51.648247,I am the description,I am the title,yes
S146,34 Mill Street,Doncaster,DN3 3DL,-1.050825,53.535964,I am the description,I am the title,no
S150,76 Biggin Street,Dover,CT16 1BB,1.309544,51.127315,I am the description,I am the title,yes
S154,16 Dronfield Civic Centre,Dronfield,S18 1PD,-1.474901,53.301358,I am the description,I am the title,yes
S158,"Unit 5, 146 Strathmartine Road",Dundee,DD3 7SE,-2.980748,56.474837,I am the description,I am the title,yes
S163,9a Market Place,East Dereham,NR19 2AW,0.940252,52.681428,I am the description,I am the title,yes
S167,16 Terminus Road,Eastbourne,BN21 3LP,0.280702,50.769,I am the description,I am the title,yes
S171,26 Crighton Place,Edinburgh,EH7 4NN,-3.18707,55.964802,I am the description,I am the title,yes
S219,141 High Street,Great Yarmouth,NR31 6RB,1.727631,52.579088,I am the description,I am the title,yes
S223,9-11 Stafford Street,Hanley,ST1 1JW,-2.175722,53.024712,I am the description,I am the title,yes
S227,5 Beulah Street,Harrogate,HG1 1QQ,-1.538609,53.993637,I am the description,I am the title,yes
S231,34 High Street,Haverfordwest,SA61 2DA,-4.970014,51.801681,I am the description,I am the title,yes
S235,320 Holderness Road,Hull,HU9 3DA,-0.309541,53.755933,I am the description,I am the title,yes
S240,23 Kennedy Way,Immingham,DN40 2AB,-0.213912,53.615785,I am the description,I am the title,yes
S244,25/27 Bridgegate,Irvine,KA12 8BJ,-4.667614,55.614381,I am the description,I am the title,yes
S248,6 Broad Street,Jersey,JE2 3RR,-2.117669,49.198914,I am the description,I am the title,yes
S292,"Unit 14, Speke Retail Park",Liverpool,L24 2WZ,-2.839389,53.345276,I am the description,I am the title,yes
S297,11 Stepney Street,Llanelli,SA15 3YB,-4.16104,51.682026,I am the description,I am the title,yes
S301,"Anglia House, The Diamond",Londonderry,BT48 6HN,-7.322118,54.995182,I am the description,I am the title,yes
S307,14 Mill Street,Macclesfield,SK11 6LY,-2.124386,53.259113,I am the description,I am the title,yes
S310,Unit 5a Rainey Street Park,Magherafelt,BT45 5AN,-6.614794,54.75631,I am the description,I am the title,yes
S315,11 Union Terrace (Bury Old Road),Manchester,M7 4ZH,-2.245864,53.512583,I am the description,I am the title,yes
S323,"Unit 6, Radcliffe Park, Phoebe Street",Manchester,M5 3PH,-2.279191,53.473724,I am the description,I am the title,yes
S328,32 Cheshire Street,Market Drayton,TF9 1PH,-2.485523,52.904655,I am the description,I am the title,yes
S333,"3 The Hollies, High Street",Midsomer Norton,BA3 2DT,-2.482495,51.286337,I am the description,I am the title,yes
S375,16 Thomas Street,Portadown,BT62 3NP,-6.4444,54.4226,I am the description,I am the title,yes
S379,56 High Street,Prestatyn,LL19 1BB,-3.403631,53.334164,I am the description,I am the title,yes
S383,"Unit 3, 55 The Loan",Queensferry,EH30 9SD,-3.398471,55.99,I am the description,I am the title,yes
S387,8 Wellington Road,Rhyl,LL18 1BG,-3.490577,53.320173,I am the description,I am the title,yes
S392,94-96 High Street,Rochester,ME1 1JT,0.50495,51.387982,I am the description,I am the title,yes
S396,49-51 Wellgate,Rotherham,S60 2LT,-1.353895,53.429727,I am the description,I am the title,yes
S400,183 New Road,Rubery,B45 9JP,-2.017796,52.393944,I am the description,I am the title,yes
S404,6 Market Walk,Saffron Walden,CB10 1JZ,0.240754,52.023014,I am the description,I am the title,yes
S407,"Unit 5 Regal House, Fore Street",Saltash,PL12 6JR,-4.214457,50.409106,I am the description,I am the title,yes
S413,9 West Port,Selkirk,TD7 4DG,-2.842944,55.546582,I am the description,I am the title,yes
S416,52 Middleswood Road,Sheffield,S6 4AH,-1.513261,53.414213,I am the description,I am the title,yes
S463,"Unit 3, Weston Grove",Upton,CH2 1QL,-2.880565,53.214161,I am the description,I am the title,yes
S467,"Unit 2, Lloyds Corner Shopping Centre, Liscard Road",Wallasey,CH44 6QY,-3.01663,53.409319,I am the description,I am the title,yes
S472,264 London Road,Waterlooville,PO7 7HG,-1.032969,50.87845,I am the description,I am the title,yes
S477,23 High Street,Wells,BA5 2AA,-2.646352,51.208809,I am the description,I am the title,yes
S481,"Unit 9, The Boulevard, Octagan Way",Weston Favell,NN3 8JL,-0.836039,52.255354,I am the description,I am the title,yes
S487,240 Bawtry Road,Wickersley,S66 1AA,-1.284954,53.420837,I am the description,I am the title,no
S490,"Unit 2, 404 Gidlow Lane",Wigan,WN6 7PL,-2.646109,53.559033,I am the description,I am the title,yes
S495,10 Lichfield Street,Wolverhampton,WV1 1DG,-2.126802,52.586298,I am the description,I am the title,yes
S499,"Unit E, Raymouth Lane",Worksop,S81 7AZ,-1.133329,53.326019,I am the description,I am the title,yes
S3,33 Commercial Street,Aberdare,CF44 7RW,-3.443695,51.713817,I am the description,I am the title,yes
S4,Unit 4 Riverside Retail Park,Aberdare,CF44 0AH,-3.42034,51.702026,I am the description,I am the title,yes
S5,22/23 Castle Street,Aberdeen,AB11 5BQ,-2.092682,57.148531,I am the description,I am the title,no
S6,34 St Andrew Street,Aberdeen,AB25 1JA,-2.101974,57.149979,I am the description,I am the title,no
S7,"Unit 7, Westhill Shopping Centre, Old Skerne Road",West Hill,AB32 6RL,-2.278419,57.153871,I am the description,I am the title,no
S8,6 Cross Street,Abergavenny,NP7 5EH,-3.0182,51.821551,I am the description,I am the title,no
S9,18 North Parade,Aberystwyth,SY23 2NF,-4.081459,52.416045,I am the description,I am the title,no
S10,87/89 Station Road,Addlestone,KT15 2AR,-0.488765,51.371787,I am the description,I am the title,no
S11,35 London Road,Alderley Edge,SK9 7JT,-2.236013,53.302656,I am the description,I am the title,no
S12,163 Main Street,Alexandria,G83 0NX,-4.581563,55.987154,I am the description,I am the title,no
S13,Unit 5 Institute Lane,Alfreton,DE55 7BQ,-1.388117,53.096877,I am the description,I am the title,no
S14,22 High Street,Alloa,FK10 1JE,-3.791734,56.11515,I am the description,I am the title,no
S15,11 Regent Road,Altrincham,WA14 1RY,-2.352044,53.385641,I am the description,I am the title,no
S16,76 Sycamore Road,Amersham,HP6 5DR,-0.606337,51.677534,I am the description,I am the title,no
S17,"Unit 5, Bence Road",Amesbury,SP4 7FR,-1.763536,51.163887,I am the description,I am the title,yes
S18,"Unit A, Carregamman",Ammanford,SA18 3EH,-3.989613,51.790024,I am the description,I am the title,yes
S19,17 West Port,Arbroath,DD11 1RE,-2.588767,56.558405,I am the description,I am the title,yes
S20,21-26 Scotch Street,Armagh,BT61 7BY,-6.6527,54.3475,I am the description,I am the title,yes
S21,98/100 Front Street,Arnold,NG5 7EJ,-1.127129,53.00372,I am the description,I am the title,yes
